tool,nthreads,size,repetitions,usec
Pthreads,1,100000,1000,576603
Pthreads,2,50000,1000,300393
Pthreads,4,25000,1000,242927
Pthreads,1,100000,2000,1147293
Pthreads,2,50000,2000,596216
Pthreads,4,25000,2000,476966
Pthreads,1,100000,3000,1709646
Pthreads,2,50000,3000,947634
Pthreads,4,25000,3000,858673

Pthreads,1,500000,1000,3013340
Pthreads,2,250000,1000,1499717
Pthreads,4,125000,1000,1239554
Pthreads,1,500000,2000,5963305
Pthreads,2,250000,2000,2984349
Pthreads,4,125000,2000,2455788
Pthreads,1,500000,3000,8938235
Pthreads,2,250000,3000,4463446
Pthreads,4,125000,3000,3784286

Pthreads,1,1000000,1000,6007634
Pthreads,2,500000,1000,3065655
Pthreads,4,250000,1000,2485807
Pthreads,1,1000000,2000,12025237
Pthreads,2,500000,2000,6131571
Pthreads,4,250000,2000,4949238
Pthreads,1,1000000,3000,18013700
Pthreads,2,500000,3000,9264967
Pthreads,4,250000,3000,7407861

Pthreads,1,2000000,1000,12041939
Pthreads,2,1000000,1000,6164604
Pthreads,4,500000,1000,4981710
Pthreads,1,2000000,2000,24438298
Pthreads,2,1000000,2000,13885619
Pthreads,4,500000,2000,12858787
Pthreads,1,2000000,3000,41935065
Pthreads,2,1000000,3000,18196366
Pthreads,4,500000,3000,14693602
OpenMP,1,100000,1000,710466
OpenMP,2,50000,1000,337329
OpenMP,4,25000,1000,302087
OpenMP,1,100000,2000,1241707
OpenMP,2,50000,2000,662145
OpenMP,4,25000,2000,537567
OpenMP,1,100000,3000,1756873
OpenMP,2,50000,3000,910565
OpenMP,4,25000,3000,769713
OpenMP,1,500000,1000,3037252
OpenMP,2,250000,1000,1489702
OpenMP,4,125000,1000,1249707
OpenMP,1,500000,2000,5991175
OpenMP,2,250000,2000,2963642
OpenMP,4,125000,2000,2495406
OpenMP,1,500000,3000,8998927
OpenMP,2,250000,3000,4451449
OpenMP,4,125000,3000,3718077
OpenMP,1,1000000,1000,6075536
OpenMP,2,500000,1000,3088647
OpenMP,4,250000,1000,2545677
OpenMP,1,1000000,2000,12069582
OpenMP,2,500000,2000,6156532
OpenMP,4,250000,2000,5064421
OpenMP,1,1000000,3000,18062415
OpenMP,2,500000,3000,9259945
OpenMP,4,250000,3000,7581152
OpenMP,1,2000000,1000,11995344
OpenMP,2,1000000,1000,6199100
OpenMP,4,500000,1000,5137435
OpenMP,1,2000000,2000,24084261
OpenMP,2,1000000,2000,12425251
OpenMP,4,500000,2000,10170673
OpenMP,1,2000000,3000,36202641
OpenMP,2,1000000,3000,18629249
OpenMP,4,500000,3000,15287679
